Wave Number,A_100 c,A_50 a,A_50 b,A_50 c,B_100 a,B_100 b,B_100 c,B_50 b,B_50 c,D_100 a,D_100 c,D_50 a,D_50 b,D_50 c,M_100 b,M_100 c,M_50 a,M_50 c,T2_100 a,T2_100 b,T2_100 c,T2_25 a,T2_25 b,T2_25 c,T2_50 b,T2_50 c,T2_75 b,T2_75 c,T_100 a,T_100 b,T_100 c,T_25 a,T_25 b,T_25 c,T_50 a,T_50 b,T_50 c,T_75 a,T_75 b,T_75 c,V1_0 a,V1_0 b,V2_0 d,V2_0 e,V2_0 f,V_0 a,V_0 b,V_0 c
2477.349,5.820772,4.021204,2.983416,3.277818,5.810205,4.575777,5.190693,3.414635,2.784666,8.282562,8.202042,4.958312,4.750004,6.075025,10.55383,11.6,6.746347,6.883216,5.680632,6.040377,5.164648,2.30566,2.129871,1.89064,3.35339,3.287646,4.056062,4.870198,5.37,6.44,5.78,1.64,2.21,2.47,2.44,3.31,2.6,4.06,4.25,4.3,1.567894,1.526662,1.174877,1.54211,2.522695,1.16,1.38,2.2
2478.313,5.788289,3.969556,2.951209,3.274942,5.960946,4.593326,5.094786,3.376989,2.832604,8.269238,8.149665,4.950229,4.72652,6.036991,10.62692,11.6,6.80535,6.729615,5.732178,6.153726,5.279405,2.371396,2.137152,1.938851,3.353861,3.413531,4.050251,4.797779,5.38,6.6,5.87,1.77,2.23,2.44,2.52,3.34,2.72,4.12,4.23,4.3,1.513905,1.622876,1.310924,1.521836,2.477535,1.15,1.47,2.23
2479.277,5.733207,3.897507,2.926389,3.299804,6.052224,4.575077,5.011754,3.346532,2.910314,8.342073,8.051898,4.895554,4.681585,5.972099,10.68715,11.4,6.886522,6.617782,5.74641,6.306566,5.398631,2.440226,2.141301,1.991797,3.350008,3.507637,4.008119,4.751265,5.39,6.75,5.97,1.88,2.28,2.41,2.59,3.32,2.88,4.17,4.21,4.27,1.429018,1.668819,1.436335,1.53987,2.424428,1.19,1.58,2.26
2480.241,5.659412,3.823468,2.918216,3.348018,6.060325,4.523679,4.969081,3.334652,3.012872,8.495434,7.923052,4.804721,4.621605,5.888318,10.71647,11.3,6.969209,6.555383,5.737023,6.476074,5.493931,2.49568,2.148012,2.046054,3.34842,3.548179,3.952818,4.732976,5.39,6.87,6.04,1.94,2.33,2.38,2.65,3.25,3.04,4.22,4.19,4.23,1.323519,1.666015,1.531657,1.587096,2.366402,1.27,1.68,2.29
2481.206,5.580676,3.764719,2.935864,3.414912,5.978099,4.454582,4.993303,3.342993,3.130292,8.707654,7.787457,4.696544,4.551624,5.796815,10.70822,11.1,7.034688,6.542343,5.727459,6.633762,5.54925,2.524471,2.162156,2.097372,3.354395,3.526717,3.910921,4.743724,5.39,6.93,6.09,1.94,2.36,2.36,2.66,3.13,3.18,4.28,4.19,4.16,1.221636,1.622437,1.587588,1.658304,2.309491,1.36,1.75,2.33
2482.17,5.516942,3.732746,2.986044,3.498378,5.81939,4.390389,5.102111,3.364313,3.249709,8.944847,7.671892,4.594846,4.478109,5.709216,10.66847,11,7.071185,6.573027,5.742769,6.750774,5.564243,2.520105,2.1871,2.140774,3.370734,3.450657,3.904682,4.785063,5.39,6.92,6.11,1.88,2.34,2.35,2.66,2.99,3.27,4.36,4.22,4.1,1.153969,1.549414,1.605048,1.749782,2.261612,1.44,1.8,2.4
2483.134,5.487922,3.730241,3.070912,3.599602,5.618013,4.351512,5.29557,3.386313,3.357666,9.168696,7.59701,4.523694,4.41222,5.63442,10.61276,10.9,7.076221,6.638493,5.800508,6.803432,5.550133,2.484544,2.224517,2.171175,3.395697,3.340162,3.945795,4.858373,5.42,6.85,6.1,1.78,2.26,2.37,2.66,2.82,3.3,4.45,4.26,4.04,1.144962,1.46026,1.592885,1.85243,2.22954,1.49,1.81,2.48
2484.098,5.50613,3.751231,3.186729,3.721025,5.421146,4.347213,5.551627,3.396814,3.441575,9.346164,7.571505,4.502684,4.370652,5.576443,10.56005,10.9,7.055772,6.728561,5.9038,6.777935,5.520405,2.427884,2.273989,2.184441,3.422054,3.22144,4.032477,4.96136,5.48,6.74,6.07,1.66,2.16,2.4,2.69,2.66,3.27,4.56,4.32,4,1.201786,1.370522,1.564658,1.949158,2.216207,1.5,1.82,2.58
2485.063,5.572175,3.784391,3.323892,3.863008,5.278624,4.37151,5.830097,3.388056,3.491137,9.458209,7.591385,4.542645,4.372484,5.534376,10.52619,10.9,7.020661,6.833096,6.0392,6.673239,5.481577,2.36621,2.33252,2.178709,3.439259,3.119871,4.150511,5.084738,5.6,6.63,6.03,1.55,2.05,2.45,2.76,2.49,3.2,4.66,4.39,3.99,1.313682,1.29742,1.535641,2.01928,2.220209,1.48,1.82,2.68
2486.027,5.674224,3.817819,3.46851,4.021281,5.230231,4.406363,6.084153,3.358481,3.500526,9.504805,7.644014,4.642118,4.432614,5.504466,10.51952,11,6.981864,6.941734,6.180453,6.501545,5.429631,2.317717,2.394262,2.15568,3.437982,3.055259,4.27762,5.212212,5.76,6.55,5.99,1.45,1.96,2.5,2.86,2.35,3.1,4.75,4.45,4.01,1.460407,1.254919,1.520251,2.04599,2.236962,1.44,1.85,2.75
